n,d,p
416,399,1.061726487228169e-25
220,211,2.1129283067624458e-71
464,445,1.5544914534737707e-29
122,117,2.5049284127833166e-82
512,491,1.1639376665800708e-33
560,537,4.974400298844914e-38
608,583,1.3207877672373345e-42
656,629,2.329260581952996e-47
704,675,2.8785368821220364e-52
752,721,2.6040969195337875e-57
800,767,1.7878474612525193e-62
848,813,9.59997477591419e-68
896,859,4.135370967566887e-73
944,905,1.4603825922284737e-78
992,951,4.307279801976889e-84
24,23,4.946879284267173e-14
976,935,4.5606221598283435e-82
928,889,1.4688934822178016e-76
880,843,3.930378090666152e-71
832,797,8.568447683450347e-66
784,751,1.487736342644845e-60
736,705,2.003035604274e-55
688,659,2.0257323142415013e-50
640,613,1.481207623223511e-45
592,567,7.475028091816004e-41
544,521,2.4585971762555378e-36
496,475,4.9051131672669e-32
118,113,2.6706049342827436e-78
448,429,5.415770955714505e-28
212,203,1.7950334861970126e-67
400,383,2.9355427540101076e-24
47,45,5.0003044325073335e-57
352,337,6.651392129334512e-21
1008,965,1.3063962461136245e-85
164,157,4.619482195223043e-47
960,919,4.74567112602945e-80
304,291,5.040515245677858e-18
864,827,3.6571952076666345e-69
70,67,1.0270323366300177e-37
816,781,7.469401478793161e-64
256,245,9.252188379332585e-16
488,467,8.248812794631945e-82
720,689,1.4954639182861024e-53
116,111,3.3790391904443857e-29
672,643,1.3781048156475126e-48
440,421,7.254049230735195e-71
208,199,2.5121158974880536e-14
992,949,1.4034953015432358e-83
392,375,2.8122467307812457e-60
576,551,4.044495590109474e-39
944,903,4.850287943247491e-78
23,22,7.458851359773883e-22
896,857,1.402154273535869e-72
528,505,1.1528035374215539e-34
344,329,3.9408006718268496e-50
848,811,3.328969223376371e-67
252,241,2.3391603257369048e-85
160,153,4.4768385256420665e-14
114,109,2.643606018471606e-74
752,719,9.506002146214995e-57
296,283,1.506259260360084e-40
432,413,1.7495617604704446e-26
704,673,1.0822772815086966e-51
976,933,1.4825485774013355e-81
68,65,2.6607860251059148e-16
928,887,4.865911782741057e-76
656,627,9.04831101935179e-47
384,367,7.395665523430895e-23
880,841,1.328825915641565e-70
248,237,1.0330172926483304e-31
608,581,5.320501072229044e-42
45,43,2.859735364594179e-53
832,795,2.961782425209869e-65
472,451,8.751027787576172e-78
112,107,1.6112240521225667e-14
960,917,1.5389455557125234e-79
424,405,6.125435404847327e-67
736,703,7.282420117821983e-55
156,149,1.7872583315173725e-43
512,489,5.111680532566421e-33
912,871,4.788549698028934e-74
200,191,6.544629419350502e-24
688,657,7.581514669700778e-50
244,233,2.6483867562907876e-81
288,275,6.231839674679213e-17
376,359,1.7900704352419116e-56
464,443,7.190729616563935e-29
640,611,5.72375307502627e-45
816,779,2.573301247655148e-63
992,947,4.4631540381676304e-83
22,21,7.62114015633438e-14
944,901,1.5689018595892014e-77
768,733,4.2535115989868115e-58
592,565,2.992864038634718e-40
504,481,7.370515607906813e-85
416,397,5.211955104887366e-25
328,313,1.7515839239776224e-46
896,855,4.619423472429117e-72
